item_id,verb,condition,sentence,target_version,answer
901,抓耳挠腮,filler,"老师: 这道题你写完了吗？
孩子: 我还不会。
老师: 你已经坐在这里好一会儿了。
孩子: 可是这题太难了。
老师: 要不要我先给你一点提示？
老师: 你刚才一直坐在那里抓耳挠腮的。
孩子: 这题真的太难了。
老师: 那我们一步一步来。",抓耳__腮,挠/撓/搔
902,掩耳盗铃,filler,"妈妈: 你刚刚是不是去拿饼干了？
孩子: 没有。
妈妈: 那你嘴上怎么全是饼干渣？
孩子:（捂住嘴）我没有吃。
妈妈: 你捂住嘴不让我看，就当妈妈不知道了？
妈妈: 这不是有点掩耳盗铃吗？
孩子: 那我现在不能吃了吗？
妈妈: 可以，但先说实话。",掩耳__铃,盗/盜
903,守株待兔,filler,"孩子: 我不收玩具了。
妈妈: 怎么啦？
孩子: 我等它自己回盒子。
妈妈: 玩具会自己走回去吗？
孩子: 不会，可是我在等。
妈妈: 光等着不动，守株待兔吗？
孩子: 那要怎么办？
妈妈: 我们一起收，很快就好了。",守株__兔,待
904,拔苗助长/揠苗助长,filler,"孩子: 我给花多浇点水，它就会长得快。
妈妈: 水已经够了。
孩子: 那我再倒一点。
妈妈: 倒太多会烂根的。
孩子: 我想让它快点长大。
妈妈: 这样硬来，其实是拔苗助长。
孩子: 那怎么办？
妈妈: 每天一点点就好。",__苗助长,拔/揠/偃
905,指手画脚/比手画脚,filler,"爸爸: 爷爷在修那个小柜子呢。
爸爸: 你要在旁边看吗？
孩子: 不好。
孩子: 我觉得爷爷应该先装下面那个。
爸爸: 你可以帮忙拿工具呀。
爸爸: 爷爷在干活的时候，你不要在旁边指手画脚哦。
孩子: 我没有捣乱。
爸爸: 那你就在旁边安安静静地看就好了。",__手画脚,指/比
906,画龙点睛,filler,"妈妈: 阳台这边终于收拾干净了。
爸爸: 确实看着清爽多了。
爸爸: 不过看起来少了点生气。
爸爸: 要不要我把那盆绿萝挪过来？
妈妈: 放在窗边？
妈妈: 确实，这样一摆，真有点画龙点睛。
孩子: 现在这里好漂亮。
妈妈: 嗯，就这样吧。",画龙__睛,点/點
907,纸上谈兵,filler,"妈妈: 你看，
妈妈: 这个村长说得挺热闹的。
妈妈: 计划写了一大堆。
妈妈: 可事情始终没开始。
妈妈: 村民们都不乐意了。
妈妈: 全是纸上谈兵。
孩子: 嗯。
孩子: 然后呢？",纸上__兵,谈/談
908,过河拆桥,filler,"爸爸: 小明刚才帮你把书搬过来，对吗？
孩子: 对。
爸爸: 那你为什么转身就走了？
孩子: 我想去玩积木。
爸爸: 我知道。
爸爸: 但是我们不能过河拆桥呀。
孩子: 我不是故意的。
爸爸: 那我们回去一起帮他一下吧。",过河__桥,拆
909,画蛇添足,filler,"实验员: 这张画已经很好看了。
孩子: 我还想再加点。
实验员: 加什么？
孩子: 一些亮片。
实验员: 可不加挺好的呀。
实验员: 加了反而有点画蛇添足。
孩子: 可是我喜欢。
孩子: 亮亮的。",__蛇添足,画/畫
910,刻舟求剑,filler,"妈妈: 你刚刚不是在客厅玩小兔子吗？
孩子: 对啊，我还让它坐在沙发上。
妈妈: 后来你去哪儿了？
孩子: 我去阳台看小鸟了。
妈妈: 那小兔子有没有跟你一起去呀？
妈妈: 你一直在沙发旁边找，那不是刻舟求剑吗？
孩子: 啊，我想起来了。
孩子: 我把它带到阳台去了。",__舟求剑,刻
301,放鸽子,exp3-context,"姐姐: 你今天下午不是约了同学吗？
孩子: 对啊，我们本来说好一起去公园。
姐姐: 那你怎么还在家里？
孩子: 太热了，我还是在家待着吧。
姐姐: 可是同学已经在等你了呀。
姐姐: 你临时说不去了，这不是放鸽子吗？
孩子: 可是今天真的太热了。
姐姐: 那你也要早点跟同学说一声呀。",__鸽子,放
303,发/闹脾气,exp3-context,"妈妈: 你怎么把蜡笔丢到地上了？
孩子: 弟弟把水洒到我的画上了。
妈妈: 他是不是不小心碰到了？
孩子: 可是这张画都不能要了，我都已经快画完了。
妈妈: 我们先试试能不能擦干净。
妈妈: 先别发/闹脾气呀，只是这里一点点沾到水了。
妈妈: 弟弟也不是故意的，对吗？
孩子: 好吧。",__脾气,发/闹/發/鬧
304,闹别扭,exp3-context,"妈妈: 你今天怎么不跟乐乐一起玩了？
孩子: 我不想跟他说话。
妈妈: 你们上午不是还一起搭积木吗？
孩子: 后来他把我的小汽车拿走了。
妈妈: 那你有没有跟他说清楚呀？
妈妈: 你们两个别因为一个玩具就闹别扭。
孩子: 可是他一直不还给我。
妈妈: 那你们轮流玩，好不好？",__别扭,闹/鬧
302,打退堂鼓,exp3-context,"爸爸: 你不是说要自己学骑自行车吗？
孩子: 可是我刚刚差点摔倒。
爸爸: 你已经骑出去一点点了呀。
孩子: 可是前面那个坡有点高。
爸爸: 我可以在后面扶着你。
爸爸: 你才刚试了一会儿，别这么快就打退堂鼓。
孩子: 可是我还是有点害怕。
爸爸: 没关系，我们慢慢骑。",__退堂鼓,打