id,file_name,age,speaker,sentence,subject,embedded_subject,sentence_type,embedded_type,adverb,modal,embedded_modal,negation,embedded_negation,aspect,embedded_aspect,tense,in_context,where_context,translation,contrast,where_contrast
1,Chang1/4,5;11,child,"EXP: 你有没有看过?
CHI: 雪.
EXP: 对雪.
CHI: 所以我台湾以为都有雪，后来没有. (所以我以为台湾都有雪，后来才知道没有)
EXP: 没有对.
CHI: 只有我想到美国有雪.",first_person,third_person,declarative,declarative,no,no,no,no,,no,no,no,not_p,after,"experimenter: have you seen (snow)?
child: snow.
experiment: yes, snow.
child: so i taiwan incorrectly thought there’s always snow, then not. (wrong word order, intended: so i incorrectly thought taiwan has snow/there’s always snow in taiwan, then (i) knew there is not.)
experiment: there’s not, right.
child: only i thought the US has snow/there’s snow in the US.",知道,after
2,Chang1/9,5;07,child,"CHI: 然后，叫<水龙>，水龙，再去打仗.
CHI: 然后，突然发现了，一个大象.
CHI: 牠就以为说...弟弟是说那个...
CHI: 然后牠[=dragon]就踢踢踢.
CHI: 牠[=elephant]就.
CHI: 啊啊啊!",third_person,dropped,declarative,declarative,就,no,no,no,,no,no,no,unclear,unclear,"child: then... called water dragon... water dragon will fight the war again.
child: then, (he?) suddenly discovered an elephant.
child: he (the dragon?) then incorrectly thought, little brother said that …
child: then he (the dragon) kicked kicked kicked. 
child: he (the elephant) then 
child: ahh!",no,no
3,LiZhou/4/1,4;03,child,"CHI: 哎好哎.
CHI: <孩名.>
CHI: 我以为你xxx房子.
CHI: 这里的房子是不是坏掉了呀?",first_person,second_person,declarative,declarative,no,no,no,no,,no,no,no,no,no,"child: okay. 
child: <child's name>
child: i thought you xxx house. 
child: is the house here broken down?",no,no
4,NSCtoys/4/a29_1,4;01,mother,"MOT: 给狗狗或猫咪吃的,是吗?
CHI: 对.
MOT: 喔(.)了解.
MOT: 那这是什么?
CHI: 这是...
MOT: 我以为你要做楼梯耶.
CHI: 对啊.
CHI: <因为>[/]因为那个就是.
CHI: 给你如果(.)不方便的话.
CHI: 这边就可以放鞋子.
MOT: 喔(.)放鞋子的地方喔!",first_person,second_person,declarative,declarative,no,no,要,no,no,no,no,no,p_alt,after,"mother: Is this for dogs or cats to eat?
child: Right.
mother: Oh, I see.
mother: then what is this?
child: this is ... 
mother: i incorrectly thought you were going to make a staircase. 
child: yeah. 
child: because...because that is 
child: for you. If it’s not convenient (if you’re not convenient)
child: this side can be used for storing shoes (you can put shoes on this side)
mother: oh, a place to put/store shoes!",no,no
5,NSCtoys/4/a36_3,4;03,mother,"MOT: tiger的身体在哪里?
CHI: 猫啦.
MOT: 猫喔?
MOT: 对.
MOT: <我以为是>，我以为他是tiger.
MOT: 结果是猫.
MOT: 大猫.",first_person,third_person,declarative,declarative,no,no,no,no,no,no,no,no,p_alt,both,"mother: where is the body of the tiger?
child: (it's) a cat. 
mother: a cat? 
mother: right. 
mother: i incorrectly thought...i incorrectly thought it was a tiger. 
mother: it turned out to be a cat. 
mother: a big cat.",no,no
6,NSCtoys/4/a37_2,4;03,mother,"MOT: 这样推!
MOT: 打屁股!
MOT: 你自以为你现在是当医生打屁股,是不是?
CHI: 0.
MOT: 很痛吗?
CHI: 0.
MOT: 很痛喔?",second_person,second_person,tag_question,declarative,自,no,no,no,no,no,no,no,pretend_play,inferred,"mother: push like this! 
mother: give shots/injections in the butt (in the context of pretend play). 
mother: you incorrectly thought you were the doctor and gave injections in the butt, aren't you?
child: [inaudible]
mother: does it hurt?
child: [inaudible]
mother: it hurts right?",当,after
7,NSCtoys/5-6_1/g09_1,4;02,mother,"MOT: 你觉得没有很厉害吗?
MOT: 你可以这样子吗?
CHI: 当然可以啊.
MOT: 我以为很厉害.
CHI: 谁都可以.
CHI: 我可以这样子.",first_person,dropped,declarative,declarative,no,no,no,no,no,no,no,no,not_p?,before,"mother: do you think this is not very impressive? 
mother: can you do this? 
child: of course i can.
mother: i incorrectly thought (it's) very impressive.
child: everyone can
child: i can be like this.",觉得,before
8,NSCtoys/2/d19_3,2;05,mother,"MOT: <好像>[/]好像不行齁.
MOT: 是不是少了一片?
MOT: 啊&=laughs.
MOT: 哦.
MOT: 原来那个不是蛋啦.
MOT: 妈妈以为他是荷包蛋.
MOT: 原来他是谁!
MOT: 他是谁?
MOT: 他是鸭妈妈耶.
CHI: 鸭妈妈.",third_person,third_person,declarative,declarative,no,no,no,no,no,no,no,no,not_p,both,"mother: It looks like it’s not possible.
mother: is it missing a piece?
mother: ah!
mother: oh.
mother: that is not an egg.
mother: mom incorrectly thought he was a fried egg.
mother: who is she actually?
mother: who is she?
mother: she is mama duck.
child: mama duck.",no,no
9,NSCtoys/4-6_2/a12_3,4;11,mother,"MOT: 试试看啊.
CHI: 哦!
CHI: 嘿&=laughs!
MOT: 哇!
MOT: 哇!
MOT: 结果牠不是狗耶.
MOT: 妈妈本来还以为牠是狗.
CHI: 牠是猫.
MOT: 牠是猫.",third_person,third_person,declarative,declarative,"本来, 还",no,no,no,no,no,no,本来,not_p,both,"mother: Let’s try.
child: Oh!
child: Hehe (laugh)
mother: Wow!
mother: It is not a dog.
mother: Mom incorrectly thought it was a dog.
child: It’s a cat.
mother: It’s a cat.",no,no
10,NSCtoys/4-6_1/f05_1,4;07,mother,"MOT: <孩名>知道这是什么形状吗?
MOT: 这个.
CHI: 三角形.
MOT: 欸他这个不能排成正方形欸.
MOT: 我以为他可以排成正方形.
CHI: 可以.
MOT: 结果他不行.
CHI: 可以!
MOT: 可以吗?
CHI: 可以.",first_person,third_person,declarative,declarative,no,no,可以,no,no,no,no,no,not_p,before,"mother: <child’s name> do you know what this shape is?
mother: this.
child: triangle.
mother: this can't form into a square. 
mother: i incorrectly thought it could form into a square. 
child: it can. 
mother: it turns out it can't. 
child: it can! 
mother: can it?
child: it can.",no,no
11,NSCtoys/3/e22_2,3;04,mother,"MOT: 你有你的设计,是不是.
CHI: 这是大站啊.
MOT: 是大站喔.
CHI: 对啊.
MOT: 喔.
CHI: 所以需要这个.
MOT: 喔我懂了!
CHI: 盖上去.
MOT: 所以你是说火车站是在里面有铁轨的意思,是不是?
MOT: 就像那种台北火车站啊,对不对?
CHI: 对.
MOT: 喔妈妈以为你说的是小车站.
CHI: 这是那个红的站.
MOT: 红色的站.
CHI: 对.",third_person,second_person,declarative,declarative,no,no,no,no,no,no,no,no,p_alt,before,"mother: you have your own design, right?
child: this is a big stop.
mother: oh, (it) is a big stop.
child: yeah.
mother: oh.
child: so (it) needs this.
mother: oh, I understand.
child: to put on top.
mother: so the train station you meant the ones with trucks in them, right?
mother: like the taipei train station, right?
child: yes. 
mother: oh, mom incorrectly thought you meant the small bus station. 
child: this is the red station.
mother: the red station.
child: yes.",,
12,NSCtoys/5-6_2/b20_1,5;07,mother,"CHI: 应该可以.
MOT: 喔那还可以弹钢琴吗?
CHI: 可以,只是不要弹太大力.
MOT: 那还可以练小提琴吗?
CHI: 可以啊.
MOT: 我以为可以休息一下&=laughs.
MOT: 不可以休息,okay.
MOT: 那还要再回来看吗?
CHI: 嗯如果还是很痛的话,再回来看医生.",first_person,dropped,declarative,declarative,no,no,no,no,no,no,no,no,not_p,after,"child: Maybe you can.
mother: Oh, then can I still play the piano?
child: Yes, as long as it’s not with a lot of force.
mother: Can I still practice playing the violin? 
child: Yes. 
mother: I incorrectly thought (I) could take a break.  (laughs)
mother: (i) can't take a break. 
mother: Then, should I come back to visit?
child: Yeah, if it is very painful, then (you should) come back and see the doctor again.",,
13,NSCtoys/5/b02_2,5;01,mother,"CHI: <完成了>!
MOT: ^<是什么>!
MOT: 欸我以为你要告诉我这是什么&=laughs.
CHI: 城堡啊&=laughs.
MOT: 城堡喔.",first_person,second_person,declarative,declarative,no,no,要,no,no,no,no,no,"against what happened, p_answer",both,"child: <completed>
mother: what is this?
mother: i incorrectly thought you were going to tell me what this is. 
child: a castle. 
mother: a castle.",,
14,NSCtoys/5/b06_2,5;00,child,"MOT: 所以呢?
CHI: 所以要挡住.
MOT: 喔要挡住.
MOT: 不然会怎样?
CHI: 人家以为这是他家里就...
MOT: 就怎样?
CHI: 就有可能会在轨道...
CHI: 他<然后>[/]然后就那个被撞到.",third_person,third_person,declarative,declarative,no,no,no,no,,no,no,no,against what happened,unclear,"mother: so?
child: so (we) need to cover (it)/(it) needs to be covered. 
mother: oh, so (it) needs to be covered. 
mother: what if it is not?/what will happen if it is not?
child: other people would incorrectly think this is their place so... 
mother: so what?
child: so (they) will be on the track …
child: and then... then.. being hit.",,
15,NSCtoys/5/b07_3,5;02,child,"MOT: 我们拼好了.
MOT: 然后把它(.)放来这.
MOT: 然后我们一直觉得哪里怪怪的.
MOT: 还好,我们一开始四个弯弯的/.
CHI: 我[/]<我[/]我>[>]...
MOT: <已经摆对>[<].
CHI: 我以为这是长颈鹿.
MOT: &=laughs.",first_person,third_person,declarative,declarative,no,no,no,no,,no,no,no,against what happened,unclear,"mother: we finished putting it together.
mother: then put it here. 
mother: we always thought something was strange. 
mother: fortunately, initially we (have?) four curved ... 
child: i, i, i…
mother: <finally did it correctly>
child:  i incorrectly thought this was a giraffe. 
mom: (laughed)",,
16,NSCtoys/5/b07_3,5;02,child,CHI:	我 以为 <这 是 长颈鹿>,first_person,third_person,declarative,ellipsis/repeated,no,no,no,no,,no,no,no,no,no,"mom: then put it here. then we always thought something is strange. (that's) alrgiht, initially we (have?) four curved ... child: i, i, i... i thought this was a giraffe. mom: (laughed) child: i thought it was a giraffe.",,
17,NSCtoys/5/b17_1,5;03,mother,"CHI: 嗯所以我不要这个xxx.
MOT: 这是装饰喔.
CHI: 对啊.
MOT: 我以为是他们那个.
MOT: 你不是之前有一次上课是跳马? (跳吗？)
CHI: 对啊.
MOT: 喔.",first_person,dropped,declarative,declarative,no,no,是,no,no,no,no,no,no,no,"child: so i don't need this xxx. 
mother: this is a decoration. 
child: yeah.
mother: i thought (it) was their…
mother: didn't you have a class where you did vaulting (or jumping?)
child: yeah.
mother: oh.",,
18,NSCtoys/5/b17_2,5;03,mother,"MOT: 唉唷这跟我家药膏很像耶.
CHI: &=laughs.
MOT: 我记得/.
CHI: 那(.)可能要先打针喔.
MOT: 我以为不用打针了.
MOT: 那要<打>[/]打...
CHI: 打针.",first_person,dropped,declarative,declarative,no,no,no,no,yes,no,no,no,not_p,both,"mother: oh wow, this looks just like the ointment we have at home.
child: (laugh)
mother: i remember…
child: (you) maybe need to get an injection first. 
mother: i incorrectly thought (i) didn’t need an injection.
mother: then, (i) need to get... 
child: get an injection.",,
19,TCCM/yang/10600,1;06,investigator,"EXA: 哦.
MOT: 哦[=!laugh].
EXA: 哦他在找这个啊.
MOT: 嘿.
EXA: 原来是这小玩具车.
EXA: 我以为是要那个大车子.
MOT: 奇怪哼.
EXA: 这小孩子喜欢.",first_person,dropped,declarative,declarative,no,no,是，要,no,no,no,no,no,p_alt,before,"experimenter: Oh!
mother: Oh (laugh).
experimenter: oh he’s looking for this.
mother: hey
experimenter: So it turns out it’s this little toy car.
experimenter: i incorrectly thought (the kid?) is looking for the bigger car.
mother: strange
experimenter: this little kid likes (it).",,
20,TCCM/yang/11000,1;10,investigator,EXA:        他 以为 是 .,third_person,dropped,declarative,declarative,no,no,是,no,no,no,no,no,unclear,unclear,child: xxx where is he? ext: (he's) gone. he thought yes mom: mom has (it?),,
21,TCCM/yang/20600,2;06,investigator,"EXA: 那你为什么打它?
CHI: 它不开.
EXA: 哈?
CHI: 这个红色不开.
EXA: 打打以为它就开[=!笑].",dropped,third_person,declarative,declarative,no,no,no,no,no,no,no,no,not_p,before,"experimenter: then why did you hit it?
child: it does/ did not open. 
experimenter: what?
child: this red one  won’t open. 
experimenter: (you?) thought hitting it would make it open (laugh)",,
22,TCCM/xu/20300,2;03,investigator,"INV: 你是美少女啊?
CHI: 是美嘉嘉,美.
CHI: 小天使.
INV: 对,你知道啦.
INV: 我还以为你不知道!
INV: 这是什么?
CHI: 小天使在这里.",first_person,second_person,declarative,declarative,还,no,no,no,yes,no,no,no,not_p,before,"investigator: are you the pretty girl?
child: is pretty jiajia, pretty.
child: little angel.
investigator: yes, you knew!
investigator: i thought you didn’t know.
investigator: what is this?
child: little angel is here.",,
23,TCCM/wang/20700,2;07,child,CHI:	以为 +...,unclear,unclear,unclear,ellipsis,no,no,no,no,,no,no,no,unclear,unclear,mom: you also bully the dog! child: i xxx. thought ... ah,,
24,TCCM/wang/21100,2;11,mother,"MOT: 真的打到了啊?
MOT: 我的天呐.
MOT: 不是啦.
MOT: 那不是蚊子.
MOT: 那是一个硬硬的东西.
MOT: 我还以为你打到了耶.
MOT: 你也以为你打到了.
MOT: 是不是?",first_person,second_person,declarative,declarative,还,no,no,no,no,no,了,no,not_p,before,"mother: did (you) really hit it?
mother: oh my god. 
mother: no. 
mother: that's not a mosquito. 
mother: that's something hard. 
mother: i incorrectly thought you hit it. 
mother: you also incorrectly thought you hit it too. right?",,
25,TCCM/wang/21100,2;11,mother,"MOT: 真的打到了啊?
MOT: 我的天呐.
MOT: 不是啦.
MOT: 那不是蚊子.
MOT: 那是一个硬硬的东西.
MOT: 我还以为你打到了耶.
MOT: 你也以为你打到了.
MOT: 是不是?",second_person,second_person,declarative,declarative,也,no,no,no,no,no,了,no,not_p,before,"mother: did (you) really hit it?
mother: oh my god. 
mother: no. 
mother: that's not a mosquito. 
mother: that's something hard. 
mother: i incorrectly thought you hit it. 
mother: you also incorrectly thought you hit it too. right?",,
26,TCCM/wuys/30300,3;03,mother,"CHI: 好.
EXA: 好.
CHI: 这个.
MOT: 不是要贴嘴巴的哦?
MOT: 我以为你要贴嘴巴.
MOT: 我就给你贴 &~Smei.",first_person,second_person,declarative,declarative,no,no,要,no,no,no,no,no,not_p,before,"child: okay.
experimenter: okay.
child: this.
mother: this isn’t supposed to stick on your mouth, right?
mother: i incorrectly thought you wanted to stick the mouth.
mother: i just want to stick you…",,
27,TCCM/chou/20100,2;01,mother,"MOT: 像我因为跟他常接触.
MOT: 所以他讲什么.
MOT: 我比较知道.
MOT: 那周cc他是必需有差不多知道他在做什么的时候,他才听得清楚他在讲什么.
MOT: 那如果讲电话//.
MOT: 我[/]我本来一直以为他讲话很清楚.
MOT: 那上一次cc的弟弟来.
MOT: 他说""/.
MOT: xxx.
MOT: 我再跟c_c说:
MOT: “可是他讲话很清楚啊!
MOT: 我一直觉得他讲的话很清楚.
MOT: 原来别人都听不懂.
MOT: 只有我听懂得!”
MOT: 然后CC说 
MOT: “对啊 !
MOT: 讲电话的时候.
MOT: 我都不晓得他在讲什么.”",first_person,third_person,declarative,declarative,"本来, 一直",no,no,no,no,no,no,"本来, 一直",not_p,after,"mother: like me, because i interact with him often
mother: so whatever he says,
mother: i know (i know whatever he says)
mother: that week, cc (another person’s name), he’s like he has to roughly know what he’s (the person they are talking about)  doing, only then can he (cc) clearly hear what he’s saying. 
mother: then, if talking on the phone
mother: i originally always incorrectly thought he spoke very clearly
mother: last time when cc’s brother was here
mother: he said:
mother: xxx
mother: then i said to cc:
mother: “but he speaks very clearly!
mother: i always thought he speaks very clearly. 
mother: it turns out other people cannot understand.
mother: only i can understand.”
mother: and then cc said:
mother: “yeah!
mother: when on the phone,
mother: i don’t know what he’s talking about.”",,
28,TCCM/chou/20100,2;01,investigator,"MOT: 几朵花?
EXA: 喔!
EXA: 原来这个是他插的喔?
EXA: 我还以为故意的!
MOT: 他[/]他本来那些通通插在这里围一圈.
MOT: 其实本来是在那个白色的花盆里.
MOT: 然后他把它一个一个拿下来插了.
MOT: 围了一圈.",first_person,dropped,declarative,declarative,还,no,no,no,no,no,no,no,p_alt,before,"mother: how many flowres?
investigator: oh!
inverstigator: oh, so this was put in/inserted by him?
inverstigator: i thought it was deliberate/on purpose!
mother: he…he (it?) originally they were all inserted here in a circle
mother: actually, they were all originally in that white planter.
mother: and then, he took them down one by one and inserted them.
mother: formed a circle.",,
29,TCCM/chou/20200,2;02,mother,"EXA: 理头发又不会痛!
EXA: 不会痛.
EXA: 对不对?
MOT: 你头发好长哎.
MOT: 你看.
MOT: 出去人家都以为你是小女生.
MOT: 人家都要问男的女的?
CHI: 我不要理头发.",third_person,second_person,declarative,declarative,都,no,no,no,no,no,no,no,against the fact,no,"investigator: getting a haircut won’t hurt!
investigator: not going to hurt!
investigator: right?
mother: your hair is so long. 
mother: you see. 
mother: (when you) go out, other people will think you're a girl.
mother: other people will all ask, (if you are a) boy or girl?
child: i don’t want to get a haircut.",,
30,TCCM/chou/20400,2;04,investigator,"EXA: 来擦嘴巴!
EXA: 不然你看.
EXA: 你的嘴巴都黑的.
EXA: 人家以为你怎么啦.
EXA: han@o?
EXA: 吃糖果会吃到这样!",third_person,second_person,declarative,declarative,no,no,no,no,no,no,no,no,no,no,"investigator: come and wipe your mouth!
investigator: or else you see
investigator: your mouth is all black.
investigator: other people incorrectly thought (will think) what is wrong with you
investigator: <?>
investigator: eating candy can make you like this! (just by eating candies you look like this)",,
31,TCCM/cheng/31000,3;01,adult,"CHI: 对呀!
ADU: 然后这是谁?
CHI: 这是母鸡.
ADU: 嗯.
ADU: 母鸡看到小妹妹走过去啊.
ADU: 以为小妹妹要抓小鸡哦!
ADU: 就好生气喔!
ADU: 对着妹妹怎么样?",dropped,NP,declarative,declarative,no,no,要,no,no,no,no,no,no,no,"child: Right!
adult: Then who is this?
child: This is the hen.
adult: Yeah.
adult: The hen saw that the little sister walked over.
adult: (The hen) thought the little sister was going to take the chicks.
adult: And was very angry.
adult: What did the hen do to the little sister?",,
32,TCCM/cheng/31100,3;10,child,CHI:        他 以为 这 里面 有 什么 ?,third_person,third_person,wh_question,declarative,no,no,no,no,,no,no,no,no,after,chi: what did he think was inside? adu: tiger! chi: there is no (tiger)! ,,
33,TCCM/chw/31100,3;11,investigator,"INV: 放回去!
INV: 你刚刚从这里面弄掉出来的.
INV: 再把他放进去!
CHI: 不要!
INV: 要.
INV: 不然爸爸以为是我们弄坏掉的!
CHI: 爸爸哪有回来!
INV: 等一下就回来了!",third_person,dropped,declarative,declarative,no,no,是,no,no,no,no,no,no,no,"investigator: put it back!
investigator: This is where you just knocked off from inside.
investigator: put it back in again.
child: no!
investigator: yes! (you should)
investigator: or else dad will think we broke it. 
child: dad dihasn’t come back! 
investigator: (he) will be back soon!",,
34,TCCM/chw/40200,4;02,investigator,"INV: 我以为你好喜欢呢.
INV: 哈?
INV: 你今天有没有做什么事啊?
CHI: 没有事啦!",first_person,second_person,declarative,declarative,no,no,no,no,no,no,no,no,no,no,"investigator: i thought you really liked it.
investigator: what?
investigator: did you do anything today?
child: (i) did not have anything!",,
35,TCCM/chw/40200,4;02,investigator,"INV: 藏好!
CHI: 我要做了!
INV: 你昨天睡这里吗?
孩子: 对啊.
孩子: 我昨天晚上就睡这啊!
研究员: 我还以为你会睡你的新房间嘞!
孩子: 我明天就可以睡了!
研究员: 等到收好就可以睡了嘛.",first_person,second_person,declarative,declarative,还,no,会,no,no,no,no,no,p_alt,before,"investigator: Hide it well.
child: I will make it!
investigator: Did you sleep here yesterday? 
child: yes. 
child: i slept here last night! 
investigator: i incorrectly thought you would sleep in your new room. 
child: i can sleep (there) tomorrow!
investigator: when it’s done cleaning up, (you) can sleep (there).",,
36,TCCM/wu/20500,2;05,adult,"TSA: 哎哟还有刹车耶.
ADU: 哎哟.
ADU: 好棒哦!
ADU: 不想回去呀.
ADU: 听到他妈妈的声音.
ADU: 以为要来带他.
TSA: 自己骑.
TSA: 你要不要载我?
CHI: 不要.
ADU: 我自己会开.",dropped,dropped,declarative,declarative,no,no,要,no,no,no,no,no,unclear,unclear,"investigator: oh (the motorcycle) has a brake.
adult: oh.
adult: that’s awesome!
adult: (the child?) didn’t want to go back.
adult: heard his mom's voice, 
adult: incorrectly thought (his mom) was taking him. 
investigator: (he will?) ride on his own. 
investigator: do you want to give me a ride?
child: no.
adult: i can drive myself.",no,no
37,TCCM/wu/20500,2;05,investigator,"MOT: 快点!
MOT: 我说要干吗.
MOT: 我们去后面看.
TSA: 只是去看.
MOT: 他叫我去后面看水好满.
TSA: 我以为他知道要叫你把他弄.
TSA: 清掉.
MOT: 没有.
MOT: 他说水沟满满.
MOT: 他叫我去看.",first_person,third_person,declarative,declarative,no,no,no,no,no,no,no,no,p_alt,after,"mother: Hurry up!
mother: I said: What’s up?
mother: Let’s go to the back and check.
investigator: Just to check.
mother: he asked me to go to the back to see that the water was full.
investigator: I incorrectly thought he knew that he needed to ask you do it. 
investigator: to clean up.
mother: No. 
mother: he said the ditch is full. 
mother: he asked me to check.",no,no
38,Chang2/BookReading/10,3;07,mother,"MOT: 刚刚小baby跳舞啊.
MOT: 小baby游泳啊.
MOT: 小baby吃东西啊.
MOT: 妈妈都不知道,对不对?
CHI: 对.
MOT: 他以为小baby都乖乖地躺在床上.
MOT: 然后妈妈说什么?
CHI: 卡儿,你好乖哦.",third_person,NP,declarative,declarative,no,no,no,no,no,no,no,no,p_alt,before,"mother: just now, the little bably danced.
mother: the little baby swam.
mother: the little baby ate something. 
mother: the mom doesn't know, right? 
child: yeah. 
mother: she incorrectly thought the little baby was lying peacefully on the bed.
mother: what did mom say?
mother: carl, you’re so sweet.",不知道,before
39,Chang2/BookReading/13,3;06,mother,"CHI: 咦,他才不是小哥哥.
MOT: 啊,那不是小哥哥.
MOT: 我讲错了.
MOT: 你看你一直摸我这里.
MOT: 我就忘记.
MOT: 我以为他是小哥哥.
MOT: 所以你要专心啊.
MOT: 不然我都会忘记啊.",first_person,third_person,declarative,declarative,no,no,no,no,no,no,no,no,not_p,before,"child: eh? he’s not the little older brother.
mother: ah, that’s not the little older brother.
mother: i misspoke.
mother: look, you keep touching me here.
mother: so i forgot.
mother: i incorrectly thought he was the little brother.
mother: So you need to stay focused.
mother: Or else I’ll end up forgetting.",no,no
40,ChangPlay/4/5,4;08,mother,"CHI: 等一下有...
CHI: yeah.
CHI: 打开来.
MOT: 你不是女生喔?
CHI: 我是弟弟.
MOT: 我以为你是女生耶.
MOT: 这样拿就好了.
CHI: 我要先拿绳子.",first_person,second_person,declarative,declarative,no,no,no,no,no,no,no,no,not_p,before,"child: wait there are …
child: yeah.
child: open it!
mother: you are not a girl?
child: i’m little brother.
mother: i incorrectly thought you were a girl.
mother: holding it like this is fine.
child: I should get the rope first.",no,no
41,ChangPlay/4/15,4;06,mother,"CHI: 这不是我.
MOT: 不是你吗?
CHI: 你听错了.
MOT: 什么我听错了.
MOT: 他还碰一声.
MOT: 我还以为你去撞到柜子了.
CHI: 不是我.
MOT: 是哥哥.",first_person,second_person,declarative,declarative,还,no,no,no,no,no,了,no,not_p,both,"child: this was not me. 
mother: not you? 
child: you misheard it. 
mother: what did i mishear? (what? I misheard.)
mother: he (it?) also made the bang sound. 
mother: i incorrectly thought you went and hit the cabinet. 
child: not me. 
mom: it was brother.",no,no
