item,verb,condition,sentence,target_sentence,option1,option2
901,虎头蛇尾,filler,"妈妈: 你画了什么呀？
孩子: 小猫！
妈妈: 刚开始画得挺好的呀，还涂了颜色。
妈妈: 怎么后面就只画了一个圈？
孩子: 我不想画了。
妈妈: 那你这不是虎头蛇尾嘛。
孩子: 我画累了。
妈妈: 那我们休息一下，不要就这么放弃，好不好？",妈妈: 那你这不是虎头蛇尾嘛。,虎头,猫头
902,掩耳盗铃,filler,"妈妈: 你刚刚是不是去拿饼干了？
孩子: 没有。
妈妈: 那你嘴上怎么全是饼干渣？
孩子:（捂住嘴）我没有吃。
妈妈: 你捂住嘴不让我看，就当妈妈不知道了？
妈妈: 这不是有点掩耳盗铃吗。
孩子: 那我现在不能吃了吗？
妈妈: 可以，但先说实话。",妈妈: 这不是有点掩耳盗铃吗。,盗铃,偷鼓
903,守株待兔,filler,"孩子: 我不收玩具了。
妈妈: 怎么啦？
孩子: 我等它自己回盒子。
妈妈: 玩具会自己走回去吗？
孩子: 不会，可是我在等。
妈妈: 光等着不动，守株待兔吗？
孩子: 那要怎么办？
妈妈: 我们一起收，很快就好了。",妈妈: 光等着不动，守株待兔吗？,待兔,待免
904,拔苗助长,filler,"孩子: 我给花多浇点水，它就会长得快。
妈妈: 水已经够了。
孩子: 那我再倒一点。
妈妈: 倒太多会烂根的。
孩子: 我想让它快点长大。
妈妈: 这样硬来，其实是拔苗助长。
孩子: 那怎么办？
妈妈: 每天一点点就好。",妈妈: 这样硬来，其实是拔苗助长。,助长,帮忙
905,世外桃源,filler,"妈妈: 我们走了好久了。
孩子: 这里好远哦。
妈妈: 这里怎么这么安静？
孩子: 都没有车。
妈妈: 空气也很好。
爸爸: 感觉像个世外桃源。
孩子: 我们可以多待一会儿吗？
妈妈: 好。",爸爸: 感觉像个世外桃源。,桃源,花园
906,画龙点睛,filler,"妈妈: 阳台这边终于收拾干净了。
爸爸: 确实看着清爽多了。
爸爸: 不过看起来少了点生气。
爸爸: 要不要我把那盆绿萝挪过来？
妈妈: 放在窗边？
妈妈: 确实，这样一摆，真有点画龙点睛。
孩子: 现在这里好漂亮。
妈妈: 嗯，就这样吧。",妈妈: 确实，这样一摆，真有点画龙点睛。,点睛,加眼
907,纸上谈兵,filler,"妈妈: 你看，
妈妈: 这个村长说得挺热闹的。
妈妈: 计划写了一大堆。
妈妈: 可事情始终没开始。
妈妈: 村民们都不乐意了。
妈妈: 全是纸上谈兵。
孩子: 嗯。
孩子: 然后呢？",妈妈: 全是纸上谈兵。,谈兵,说兵
908,过河拆桥,filler,"爸爸: 小明刚才帮你把书搬过来，对吗？
孩子: 对。
爸爸: 那你为什么转身就走了？
孩子: 我想去玩积木。
爸爸: 我知道。
爸爸: 但是我们不能过河拆桥呀。
孩子: 我不是故意的。
爸爸: 那我们回去一起帮他一下吧。",爸爸: 但是我们不能过河拆桥呀。,拆桥,拆船
909,画蛇添足,filler,"实验员: 这张画已经很好看了。
孩子: 我还想再加点。
实验员: 加什么？
孩子: 一些亮片。
实验员: 可不加挺好的呀。
实验员: 加了反而有点画蛇添足。
孩子: 可是我喜欢。
孩子: 亮亮的。",实验员: 加了反而有点画蛇添足。,画蛇,画龙
910,一鼓作气,filler,"妈妈: 我们可以玩什么游戏？
孩子: 医生游戏，要生病吃药。
妈妈: 谁是病人？
孩子: 你。
妈妈: 我是病人啊，要吃药了哇。
妈妈: 那我一鼓作气先把药喝了。
孩子: 不行。
孩子: 我还没看呢。",妈妈: 那我一鼓作气先把药喝了。,作气,作力
,exp1-context,practice1,"妈妈: 小球滚到那里去了耶。
孩子: 哪里？
妈妈: 沙发底下。
妈妈: 好远哦。
孩子: 那怎么办？
妈妈: 你可以帮妈妈把小球拿过来吗？/你可以帮妈妈把小球拿[回来/回去]吗？
孩子: 不好。
孩子: 不要。",妈妈: 你可以帮妈妈把小球拿过来吗？,过来,过去
,exp1-context,practice2,"妈妈: 有一天夜里呢.
妈妈: 刮了大风.
妈妈: 到天亮的时候.
妈妈: 风才停下.
妈妈: 沼泽地的村民们纷纷从各自家里钻了出来 .
妈妈: 修补被大风破坏了的房屋.
妈妈: 它们就修房子 .
妈妈: 蜘蛛阿尔丁昨天刚结的几个新网也破了几个大窟窿.",妈妈: 修补被大风[破坏/损坏]了的房屋.,破坏,损坏
,exp1-context,practice3,"妈妈: 你画太阳吧.
孩子: 你帮我画房子.
妈妈: 我帮你画房子啊.
孩子: 因为我不会画嘛.
妈妈: 不会画没关系.
妈妈: 你可以把这个颜色涂在这里。
妈妈: 这个是黑颜色.
妈妈: 这个电视机还少一样东西.",妈妈: 你把这个颜色涂在这里.,把,将
,exp1-context,practice4,"妈妈: 我们有小推车了！
妈妈: 你看那边有什么?
孩子: 蛋蛋。
妈妈: 蛋蛋哦！
妈妈: 你很喜欢蛋蛋诶。
妈妈: 那要不要把推车推过去装蛋蛋？
妈妈: 要不要装蛋？
孩子: 好！",妈妈: 那要不要把推车推过去装蛋蛋？,过来,过去